county,fips,ent,rec,coast,div_index
Alameda,1,1,1,1,0.740399
Alpine,3,0,0,0,0.491441
Amador,5,0,0,0,0.340126
Butte,7,0,0,0,0.423592
Calaveras,9,0,0,0,0.305176
Colusa,11,0,0,0,0.527825
Contra Costa,13,1,1,1,0.686497
Del Norte,15,0,0,1,0.552126
El Dorado,17,0,1,0,0.355694
Fresno,19,0,1,0,0.618892
Glenn,21,0,0,0,0.550859
Humboldt,23,0,0,1,0.400875
Imperial,25,0,0,0,0.311687
Inyo,27,0,0,0,0.523314
Kern,29,0,1,0,0.596651
Kings,31,0,0,0,0.59646
Lake,33,0,0,0,0.43342
Lassen,35,0,0,0,0.514288
Los Angeles,37,1,1,1,0.661865
Madera,39,0,0,0,0.552329
Marin,41,1,1,1,0.442392
Mariposa,43,0,0,0,0.318022
Mendocino,45,0,0,1,0.48984
Merced,47,0,0,0,0.576306
Modoc,49,0,0,0,0.372207
Mono,51,0,0,0,0.482499
Monterey,53,0,1,1,0.569329
Napa,55,0,0,1,0.583815
Nevada,57,0,1,0,0.252753
Orange,59,1,1,1,0.663094
Placer,61,0,1,0,0.417471
Plumas,63,0,0,0,0.279941
Riverside,65,1,1,0,0.624784
Sacramento,67,1,1,0,0.687281
San Benito,69,0,0,1,0.527412
San Bernardino,71,1,1,0,0.624636
San Diego,73,1,1,1,0.650181
San Francisco,75,1,1,1,0.679829
San Joaquin,77,0,1,0,0.685223
San Luis Obispo,79,0,1,1,0.461168
San Mateo,81,1,1,1,0.691029
Santa Barbara,83,1,1,1,0.583869
Santa Clara,85,1,1,1,0.694312
Santa Cruz,87,0,1,1,0.543935
Shasta,89,0,0,0,0.32551
Sierra,91,0,0,0,0.24407
Siskiyou,93,0,0,0,0.373131
Solano,95,0,1,1,0.725821
Sonoma,97,1,1,1,0.505207
Stanislaus,99,0,1,0,0.6011
Sutter,101,0,0,0,0.647059
Tehama,103,0,0,0,0.449472
Trinity,105,0,0,0,0.300837
Tulare,107,0,0,0,0.512942
Tuolumne,109,0,0,0,0.319478
Ventura,111,1,1,1,0.596774
Yolo,113,0,0,0,0.642001
Yuba,115,0,0,0,0.590487
